4FUNMEDIA;17.20;17.20;15.50;15.94;24307
4FUNMEDIA;16.00;16.00;14.35;15.00;9951
4FUNMEDIA;14.55;15.25;14.47;14.66;48042
4FUNMEDIA;15.00;15.00;14.45;14.89;7920
4FUNMEDIA;14.53;14.55;14.47;14.50;3608
4FUNMEDIA;14.47;14.50;14.40;14.50;740
4FUNMEDIA;14.40;14.65;14.02;14.50;3853
4FUNMEDIA;14.19;14.43;14.10;14.43;2097
4FUNMEDIA;14.10;14.15;14.08;14.15;2535
4FUNMEDIA;14.24;14.75;14.24;14.75;3862
4FUNMEDIA;14.90;14.97;14.90;14.94;4771
4FUNMEDIA;14.34;14.94;14.34;14.94;6992
4FUNMEDIA;14.87;14.94;14.87;14.94;8806
4FUNMEDIA;14.94;16.43;14.94;16.42;7938
4FUNMEDIA;16.91;16.91;15.32;15.32;983
4FUNMEDIA;16.59;16.59;14.94;15.32;11270
4FUNMEDIA;15.35;15.35;14.60;15.29;985
4FUNMEDIA;14.59;14.98;14.27;14.81;3868
4FUNMEDIA;14.71;15.10;14.71;14.81;1003
4FUNMEDIA;14.80;14.80;14.80;14.80;8180
4FUNMEDIA;14.80;15.24;14.80;15.00;363
4FUNMEDIA;15.25;15.29;15.00;15.29;263
4FUNMEDIA;15.30;15.30;15.19;15.30;7491
4FUNMEDIA;16.18;16.18;15.00;15.01;1890
4FUNMEDIA;15.20;15.20;14.81;14.81;6139
4FUNMEDIA;15.19;15.19;14.65;14.93;2319
4FUNMEDIA;14.94;14.94;14.55;14.93;5025
4FUNMEDIA;14.94;14.94;14.43;14.80;2342
4FUNMEDIA;14.94;14.99;14.50;14.94;5847
4FUNMEDIA;14.90;14.90;14.89;14.89;73
4FUNMEDIA;14.93;14.93;14.93;14.93;1
4FUNMEDIA;14.80;14.95;14.57;14.90;2126
4FUNMEDIA;14.97;15.30;14.90;15.08;3600
4FUNMEDIA;15.28;15.28;15.28;15.28;34
4FUNMEDIA;15.28;15.28;14.91;14.91;106
4FUNMEDIA;15.28;15.30;14.95;15.28;3285
4FUNMEDIA;15.28;15.88;14.50;15.88;3448
4FUNMEDIA;15.86;15.86;15.20;15.77;129
4FUNMEDIA;15.75;15.75;14.66;14.82;8221
4FUNMEDIA;14.61;15.42;14.21;14.21;1428
4FUNMEDIA;14.90;14.90;14.35;14.35;1011
4FUNMEDIA;15.30;15.30;14.26;15.29;2070
4FUNMEDIA;15.13;15.13;15.00;15.00;5039
4FUNMEDIA;15.00;15.00;15.00;15.00;2
4FUNMEDIA;14.99;15.00;14.79;14.98;5900
4FUNMEDIA;15.00;15.10;14.70;15.10;2754
4FUNMEDIA;15.05;15.05;14.70;14.70;19
